"ОБВРСКИ ПО БУЏЕТСКИ КОРИСНИЦИ, СМЕТКА 786 (ВО ДЕНАРИ)","",""
"Ставка","назив","Неплатени обврски до 31.05.2017"
"13001     ","МИНИСТЕРСТВО ЗА ТРАНСПОРТ И ВРСКИ","155080201.0"
"14001     ","МИНИСТЕРСТВО ЗА ЗЕМЈОДЕЛСТВО, ШУМАРСТВО И ВОДОСТОПАНСТВО","17308989.0"
"ВКУПНО ","","172389190.0"
