amount,dealsubtype,dealtype,from.id,from.label,from.name,from.taxonomy,id,realsector,sector.id,sector.label,sector.name,sector.taxonomy,time.day,time.id,time.label,time.month,time.name,time.quarter,time.taxonomy,time.week,time.year,time.yearmonth,to.id,to.label,to.name,to.taxonomy
1000000.0,,Auction,79,Romania,ro,from,f954ddbd155c5d2428c37f3de8c399b315c865f0,,6,Other,other,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7585,AUTOSTART S.A.,autostart-s-a,to
1000000.0,,Auction,79,Romania,ro,from,f95e06f6c522f03c26d3b0a908f5228c51e8589e,,6,Other,other,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7565,13 LOCOMOTIVA S.A.,13-locomotiva-s-a,to
1000000.0,,Auction,79,Romania,ro,from,f96f7c5fe5fbf0dc3249e78bbd0f65df6dd69891,,6,Other,other,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7562,SCOALA DE SOFERI  AMATORI S.A.,scoala-de-soferi-amatori-s-a,to
1000000.0,,Public Offer,79,Romania,ro,from,f98a0d0b8ab5a433bf0d273085c6211a33a6a391,Restaurant,6,Other,other,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7587,UNIC S.A.,unic-s-a,to
1000000.0,,Auction,79,Romania,ro,from,f9bcf785d4beb91b50d029abb5e21cb7203407ba,Manufacturing,8,Manufacturing & Services,manufacturing-services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7522,MURESENI S.A.,mureseni-s-a,to
1000000.0,,,18,Cameroon,cm,from,f9e8d211eaf51ccefc11a9e73660fb2e79fb4ef1,Manufacturing,8,Manufacturing & Services,manufacturing-services,sector,01,14,01. January 1999,01,1999-01-01,0,time,00,1999,199901,2861,SOCAPALM (Palm oil),socapalm-palm-oil,to
1000000.0,,Negotiation,79,Romania,ro,from,f9f7841fcc3d01168e35f3b3731f8c47e82a352f,Trade and retail,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,8018,DONARIS 98 COM S.A.,donaris-98-com-s-a,to
1000000.0,,Auction,79,Romania,ro,from,fa0f58ea581b7fdd74e376f5c9412d89596bbf1a,Trade,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7921,ALIMENTARA 41 S.A.,alimentara-41-s-a,to
1000000.0,,Auction,79,Romania,ro,from,fa1a2aea58673b943b53090f5c93b6e15103827a,Services,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7755,AGROMEC CAIANU MIC S.A.,agromec-caianu-mic-s-a,to
1000000.0,,Auction,79,Romania,ro,from,fa25a2a9126eae3d46ae28fe028ac48b10b14936,,6,Other,other,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7551,EVENIMENTUL S.A.,evenimentul-s-a,to
1000000.0,,Auction,79,Romania,ro,from,fa2962f023af8b188738a58069927ac2b6a3b22f,,6,Other,other,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7583,METALIM PEX S.A.,metalim-pex-s-a,to
1000000.0,,Auction,79,Romania,ro,from,fa5f8783ffa88b5351f0bcc232c5739c5042dffa,Warehouse,6,Other,other,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7693,FRIAL S.A.,frial-s-a,to
1000000.0,,,93,Tunisia,tn,from,fab9116da1122bca29944dbd0d631c2ac4557454,Industry,9,Services,services,sector,01,10,01. January 1995,01,1995-01-01,0,time,00,1995,199501,9009,SEK,sek,to
1000000.0,,Lease,67,Mozambique,mz,from,facbc78019024fb5468ca4cb84afc03e9de7444e,Industry,9,Services,services,sector,01,13,01. January 1996,01,1996-01-01,0,time,01,1996,199601,6193,Est. Navais da Beira,est-navais-da-beira,to
1000000.0,,Negotiation,79,Romania,ro,from,fae76710ac9f627de0b84bbef902e75d4449d732,,6,Other,other,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7663,MARMOSIN S.A.,marmosin-s-a,to
1000000.0,,Auction,79,Romania,ro,from,fb16a453f812704ccef88614587ff2f97e8d414d,Trade,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7911,AUTO VELO S.A.,auto-velo-s-a,to
